Statistic,gdp_debt,gini % ,alcohol consumption 2016,Average daily dietary energy consumption per capita(kilocalories),Median Age 2020,health expenditure per capita 2018,spending on education(% GDP),population growth,democracy index 2020,Homelessness population per 10k,Economic Freedom Score,milk consumption per capita(2013),"2019 mortality rate, under-5 (per 1000 live births)",literacy rate elderly(+65),% Islam,titles(total),% Buddhists,Obesity rate (%),intentionanl homicide Rate,% Jewish,Averagedownloadspeed(Mbit/s)(Ookla),% Christians,Oil production per capita2021 (bbl/day/million people),Anual nominanl US,yes important %,Prevalecence of tobacco use 2000,gdp estimate un,number of internet users %,Fertility rate  in 2020(births/woman),HDI 2021,Age of first marriage(woman),Incarceration rate per 100000,Average yearly temperature (1961–1990 Celsius),Scientific publications per capita (in ppm),Life expentacy at birth,Total Suicides per 100 000,Equivalent to a 2-year degree or higher(%),Age of criminanl responsibility,kg per capita 2002,military expenditures %gdp
Mean,83.80877300613497,37.641558441558445,6.273456790123457,2893.9607843137255,30.86894409937888,1595.46875,4.509746835443038,1.240920245398773,5.470256410256409,268.69814814814816,61.36089743589743,118.60968152866243,26.273006134969325,60.756521739130434,28.33996913580247,19283.974789915967,5.049659863945578,18.567901234567902,6.069060402684563,1.170485652173913,101.88558139534884,50.415125786163514,42339.044444444444,5438.794962962964,70.53237410071942,29.509523809523806,14056.147239263804,56.31975308641975,2.522407407407407,0.7267730061349693,25.028220858895704,162.02469135802468,17.882147239263805,860.2208588957055,73.174375,9.971779141104294,39.404545454545456,12.041379310344828,45.02675159235669,2.3449999999999998
Median,53.0,36.150000000000006,6.3,2873.0,30.0,885.0,4.3,1.2,5.775,32.9,60.6,110.48,14.4,63.099999999999994,5.675000000000001,2854.0,0.0,20.45,2.4,0.015,88.625,61.4,2957.5,2538.0,80.0,29.8,5181.0,62.5,2.17,0.745,25.0,129.0,21.4,259.0,74.35,8.3,41.0,13.0,35.4,2.05
max,849.0,63.0,15.2,3885.0,48.6,10285.0,12.9,4.26,9.81,3753.0,89.4,430.76,117.2,100.0,100.0,275232.0,97.9,37.9,44.7,43.0,245.5,98.0,541020.0,32103.0,98.0,66.9,117182.0,100.7,6.74,0.962,34.8,639.0,28.29,5461.0,84.3,87.5,69.0,18.0,145.9,6.6
min,1.0,23.2,0.0,1786.0,14.8,56.0,1.2,-1.03,1.32,0.0,25.9,2.92,2.0,3.7,0.0,7.0,0.0,2.1,0.2,0.00068,36.02,0.01,1.0,4.0,14.0,6.8,286.0,3.5,0.84,0.394,15.5,10.0,-5.35,2.0,50.7,0.3,11.0,0.0,3.0,1.1
variance,12772.915042666265,61.42281835048069,17.25935718640451,213179.8677431757,80.87779329501177,3555012.6865234375,2.7491682903380865,1.1247077421054612,4.848539677843524,300623.54965706443,103.24520175871137,8519.681952127876,752.7809891226618,895.9479647132955,1405.2973069434918,1922946390.1086082,303.36141144893327,77.16205608901083,82.8135346876267,36.64095218129849,3079.6314711736077,1258.2391820596495,9542977346.509136,53244396.85827388,709.8748511981782,139.80630385487527,391706657.16850466,805.9525727785399,1.3789516117969824,0.02293136565169935,18.990246527908468,13670.493217497335,72.21708680040648,1564272.233429937,49.936905859375,76.03736309232565,153.95543388429752,8.108632580261594,1145.7159722503955,1.797475
#missing values,0.0,9.0,1.0,10.0,2.0,3.0,5.0,0.0,7.0,82.0,7.0,6.0,0.0,25.0,1.0,44.0,16.0,1.0,14.0,71.0,77.0,4.0,73.0,28.0,24.0,16.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,119.0,18.0,6.0,143.0
