Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Estonia,78.9,74.7,82.6,7.9,8.0,69.2,66.4,71.7,5.3,6.6,22.5,19.3,25.0,5.7,3.9,17.3,14.8,19.1,4.3,3.0,
Croatia,78.6,75.5,81.6,6.1,4.2,68.6,66.7,70.5,3.8,3.2,21.8,19.4,23.7,4.3,2.8,16.2,14.6,17.7,3.1,1.8,
Turkey,78.6,76.4,80.7,4.3,4.2,68.4,67.8,69.0,1.2,3.4,22.0,20.6,23.2,2.6,0.5,16.6,15.8,17.3,1.5,0.3,
United States of America,78.5,76.3,80.7,4.4,1.8,66.1,65.2,67.0,1.8,0.3,23.1,21.8,24.4,2.6,1.7,16.4,15.6,17.1,1.5,0.7,
Ecuador,78.4,76.4,80.5,4.1,3.9,68.5,67.7,69.3,1.6,3.3,23.2,22.0,24.3,2.3,1.3,17.6,17.0,18.2,1.2,0.8,
Poland,78.3,74.5,81.9,7.4,4.6,68.7,65.9,71.3,5.4,3.7,22.1,19.5,24.3,4.8,2.9,16.8,14.9,18.5,3.6,2.1,
Slovakia,78.2,74.8,81.4,6.6,4.9,68.5,66.2,70.8,4.6,3.8,21.8,19.3,23.9,4.6,3.3,16.6,14.6,18.2,3.6,2.4,
Albania,78.0,76.3,79.9,3.6,4.5,69.1,68.0,70.3,2.3,3.9,21.0,20.2,21.9,1.7,2.0,16.6,15.9,17.3,1.4,1.6,
Jordan,77.9,77.0,78.8,1.8,5.3,67.6,68.1,67.2,-0.9,4.0,21.8,21.6,22.1,0.5,3.2,16.2,16.3,16.2,-0.1,2.3,
Cuba,77.8,75.4,80.3,4.9,1.0,67.8,66.6,69.2,2.6,0.7,21.6,20.0,23.2,3.2,0.0,16.3,15.2,17.4,2.2,-0.2,
Thailand,77.7,74.4,81.0,6.6,6.4,68.3,65.9,70.6,4.7,5.7,23.6,22.1,24.8,2.7,2.8,18.0,17.0,18.8,1.8,2.4,
China,77.4,74.7,80.5,5.8,5.8,68.5,67.2,70.0,2.8,4.8,21.1,19.2,23.1,3.9,2.7,15.9,15.0,16.9,1.9,1.9,
Iran,77.3,75.7,79.1,3.4,4.7,66.3,66.0,66.5,0.5,3.7,21.8,21.2,22.5,1.3,2.1,15.7,15.6,15.8,0.2,1.4,
Qatar,77.2,78.0,76.6,-1.4,5.9,67.1,68.1,65.1,-3.0,4.7,19.5,20.6,18.4,-2.2,3.6,14.2,15.1,13.1,-2.0,2.6,
Uruguay,77.1,73.5,80.6,7.1,2.3,67.5,65.4,69.5,4.1,1.6,21.7,19.0,24.0,5.0,1.1,16.6,14.9,18.2,3.3,0.6,
Algeria,77.1,76.2,78.1,1.9,4.9,66.4,66.7,66.1,-0.6,3.7,22.0,21.5,22.6,1.1,2.2,16.0,15.9,16.2,0.3,1.4,
Tunisia,77.0,74.9,79.2,4.3,2.9,66.9,66.1,67.7,1.6,2.1,21.5,20.2,22.8,2.6,1.4,16.0,15.1,16.8,1.7,0.9,
Sri Lanka,76.9,73.8,79.8,6.0,5.0,67.0,65.1,69.0,3.9,4.0,20.8,18.6,22.6,4.0,1.2,15.3,13.8,16.6,2.8,0.6,
Bosnia and Herzegovina,76.8,74.4,79.1,4.7,1.4,67.2,65.7,68.7,3.0,1.0,20.2,18.6,21.6,3.0,0.6,15.2,14.1,16.2,2.1,0.2,
Argentina,76.6,73.5,79.5,6.0,2.5,67.1,65.4,68.8,3.4,2.0,21.1,18.8,23.1,4.3,0.9,16.3,14.8,17.6,2.8,0.7,
