Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Eritrea,64.1,61.3,67.1,5.8,9.6,55.7,53.9,57.7,3.8,8.7,15.5,14.1,16.8,2.7,2.0,11.4,10.4,12.4,2.0,1.5,
Liberia,64.1,63.2,65.0,1.8,10.3,54.9,54.9,55.0,0.1,9.1,17.7,17.4,18.0,0.6,1.9,12.9,12.8,12.9,0.1,1.5,
Burundi,63.8,61.5,66.1,4.6,20.0,55.6,54.0,57.2,3.2,17.5,16.5,15.2,17.6,2.4,3.5,12.7,11.8,13.5,1.7,2.8,
Benin,63.4,61.2,65.7,4.5,6.8,55.5,54.5,56.6,2.1,5.9,17.4,16.1,18.5,2.4,1.3,13.0,12.3,13.7,1.4,0.9,
Niger,63.3,62.1,64.6,2.5,12.9,55.5,55.3,55.8,0.5,11.3,17.2,16.6,17.8,1.2,1.4,13.0,12.7,13.3,0.6,1.0,
Afghanistan,63.2,63.3,63.2,-0.1,8.2,53.9,54.7,53.2,-1.5,7.1,15.2,15.4,15.1,-0.3,1.3,10.8,11.2,10.6,-0.6,0.6,
Angola,63.1,60.7,65.5,4.8,13.8,54.8,53.6,56.2,2.6,11.9,17.0,15.4,18.6,3.2,2.6,12.6,11.6,13.7,2.1,1.9,
Federated States of Micronesia,63.0,60.3,66.0,5.7,1.8,56.0,54.4,57.8,3.4,1.5,14.7,13.8,15.6,1.8,0.1,11.1,10.7,11.6,0.9,-0.1,
Côte d'Ivoire,62.9,60.5,65.8,5.3,12.6,54.8,53.4,56.5,3.1,10.8,17.1,15.8,18.7,2.9,2.6,12.7,11.9,13.7,1.8,2.0,
Mali,62.8,62.2,63.4,1.2,10.2,54.6,54.8,54.5,-0.3,9.0,17.5,17.3,17.6,0.3,1.5,12.8,12.9,12.7,-0.2,1.1,
South Sudan,62.8,60.8,64.8,4.0,8.7,53.7,52.9,54.5,1.6,7.3,17.8,16.6,18.9,2.3,1.5,12.7,12.2,13.1,0.9,1.1,
Burkina Faso,62.7,60.1,65.2,5.1,11.1,54.9,53.4,56.3,2.9,10.0,16.8,15.2,18.1,2.9,1.3,12.6,11.6,13.4,1.8,1.1,
Nigeria,62.6,61.2,64.1,2.9,9.0,54.4,53.9,54.9,1.0,7.9,18.2,17.6,18.9,1.3,2.0,13.5,13.3,13.8,0.5,1.5,
Zambia,62.5,59.5,65.4,5.9,18.0,54.4,52.5,56.3,3.8,15.4,16.5,14.7,18.0,3.3,3.3,12.6,11.3,13.7,2.4,2.6,
Cameroon,62.4,60.3,64.5,4.2,9.6,54.5,53.5,55.6,2.1,8.4,17.1,15.8,18.3,2.5,2.0,12.8,12.0,13.5,1.5,1.7,
"Congo, Democratic Republic of",62.4,60.0,64.8,4.8,10.0,54.1,52.8,55.4,2.6,8.8,16.6,15.4,17.9,2.5,1.7,12.5,11.7,13.4,1.7,1.3,
Equatorial Guinea,62.2,60.9,63.6,2.7,7.9,53.9,53.4,54.1,0.7,7.1,17.6,16.5,18.8,2.3,2.1,12.9,12.3,13.6,1.3,1.7,
Botswana,62.2,58.9,65.5,6.6,16.6,53.9,51.9,55.8,3.9,13.8,16.2,14.2,18.0,3.8,3.3,11.8,10.3,13.1,2.8,2.4,
Guinea,61.0,59.5,62.3,2.8,6.7,53.3,52.9,53.7,0.8,5.8,16.5,15.6,17.2,1.6,0.8,12.3,11.8,12.6,0.8,0.6,
Sierra Leone,60.8,59.6,61.9,2.3,12.1,52.9,52.5,53.3,0.8,10.7,17.0,16.4,17.4,1.0,1.6,12.6,12.4,12.8,0.4,1.3,
Zimbabwe,60.7,57.5,63.6,6.1,14.1,53.1,51.2,54.8,3.6,12.1,15.6,13.6,17.0,3.4,1.2,11.5,10.2,12.4,2.2,0.9,
Guinea-Bissau,60.2,57.4,63.0,5.6,9.9,52.6,51.1,54.1,3.0,8.6,15.5,13.9,16.7,2.8,1.7,11.4,10.5,12.1,1.6,1.3,
Chad,59.6,58.0,61.3,3.3,8.5,52.0,51.3,52.8,1.5,7.3,16.5,15.7,17.3,1.6,1.6,12.3,11.8,12.7,0.9,1.2,
Kiribati,59.4,56.1,62.8,6.7,3.7,52.6,50.5,54.9,4.4,3.0,13.7,12.5,14.6,2.1,1.1,10.3,9.5,11.0,1.5,0.7,
Mozambique,58.1,54.5,61.7,7.2,7.4,50.4,47.9,52.8,4.9,6.8,15.8,13.3,17.8,4.5,0.6,11.6,9.8,13.0,3.2,0.6,
Eswatini,57.7,53.4,63.2,9.8,10.7,50.1,47.1,53.8,6.7,8.8,15.1,12.4,17.7,5.3,1.5,11.0,9.0,12.9,3.9,1.1,
Somalia,56.5,54.0,59.2,5.2,6.6,49.7,48.3,51.3,3.0,5.7,14.5,13.2,16.0,2.8,1.4,11.2,10.3,12.2,1.9,1.1,
Central African Republic,53.1,50.2,56.3,6.1,8.8,46.4,44.5,48.4,3.9,7.7,13.2,11.3,14.9,3.6,1.4,10.0,8.6,11.1,2.5,1.1,
Lesotho,50.7,47.7,54.2,6.5,2.9,44.2,42.3,46.4,4.1,2.2,13.4,11.2,15.2,4.0,-0.5,9.8,8.3,11.0,2.7,-0.5,
