Country/Territory,Rank,Combined,2020 Combined,Male,Female,Difference
Laos,172,23.0,24.0,23.7,24.4,0.7
Latvia,16,43.6,44.4,40.5,48.0,7.5
Lebanon,96,30.5,33.7,33.1,34.4,1.3
Lesotho,166,24.2,24.7,24.7,24.7,0
Liberia,218,17.8,18.0,17.7,18.2,0.5
Libya,158,28.9,25.8,25.9,25.7,-0.2
Liechtenstein,23,43.2,43.7,42.0,45.3,3.3
Lithuania,15,43.7,44.5,40.2,48.2,8
Luxembourg,57,39.3,39.5,38.9,40.0,1.1
Macau,50,39.3,40.8,40.7,40.9,0.2
North Macedonia,59,37.9,39.0,38.0,40.0,2
Madagascar,196,19.7,20.3,20.1,20.5,0.4
Malawi,224,16.5,16.8,16.7,16.9,0.2
Malaysia,136,28.5,29.2,28.9,29.6,0.7
Maldives,131,28.2,29.5,29.2,30.0,0.8
Mali,227,15.8,16.1,15.6,16.5,0.9
Malta,36,41.8,42.3,41.2,43.5,2.3
Marshall Islands,175,22.9,23.8,23.6,23.9,0.3
Mauritania,190,20.5,21.0,20.1,22.0,1.9
Mauritius,81,35.3,36.3,35.0,37.6,2.6
Mexico,134,28.3,29.3,28.2,30.4,2.2
Federated States of Micronesia,156,25.1,26.3,25.5,27.1,1.6
Moldova,69,36.7,37.7,36.2,39.5,3.3
Monaco,1,53.1,55.4,53.7,57.0,3.3
Mongolia,128,28.3,29.8,28.8,30.7,1.9
Montenegro,55,40.7,39.6,38.1,41.1,3
Montserrat,89,33.2,34.8,34.1,35.6,1.5
Morocco,139,29.3,29.1,28.7,29.6,0.9
Mozambique,222,17.2,17.0,16.3,17.6,1.3
Namibia,185,21.2,21.8,21.1,22.6,1.5
Nauru,152,26.4,27.0,28.2,25.9,-2.3
Nepal,163,24.1,25.3,23.9,26.9,3
Netherlands,33,42.6,42.8,41.6,44.0,2.4
New Caledonia,104,32.0,32.9,32.1,33.7,1.6
New Zealand,74,37.9,37.2,36.4,37.9,1.5
Nicaragua,150,25.7,27.3,26.4,28.2,1.8
Nigeria,210,18.4,18.6,18.4,18.9,0.5
Niger,230,15.4,14.8,14.5,15.1,0.6
Northern Mariana Islands,106,33.6,32.8,31.8,34.1,2.3
Norway,58,39.2,39.5,38.8,40.2,1.4
Oman,157,25.6,26.2,27.2,25.1,-2.1
Pakistan,182,23.8,22.0,21.9,22.1,0.2
Palau,95,33.4,33.9,32.9,35.9,3
Panama,124,29.2,30.1,29.6,30.5,0.9
