Location,Region,Count,"Rate per 100,000",Male (%),Female (%),National (%),Foreign (%),Occupancy (%),Remand (%)
Grenada,Americas,463,413,98.6,1.4,96.9,3.1,233.8,20.4
Guadeloupe *,Americas,756,168,96.8,3.2,,,119.6,27.0
Guam,Oceania,690,411,92.8,7.2,69.0,31.0,126.2,45.1
Guatemala *,Americas,"25,298",139,88.8,11.2,96.8,3.2,372.0,49.6
Guernsey,Europe,87,132,94.6,5.4,90.3,9.7,79.1,15.1
Guinea,Africa,"3,782",28,97.0,3.0,97.3,2.7,156.8,60.0
Guinea-Bissau,Africa,196,10,97.4,2.6,92.9,7.1,102.2,67.9
Guyana *,Americas,"1,884",239,97.2,2.8,98.5,1.5,142.4,39.5
Haiti *,Americas,"10,905",97,95.8,4.2,,,454.4,75.0
Honduras *,Americas,"21,629",237,94.3,5.7,98.7,1.3,204.0,54.1
Hong Kong *,Asia,"6,735",90,79.9,20.1,70.1,29.9,74.0,29.9
Hungary *,Europe,"16,551",169,92.3,7.7,95.1,4.9,111.6,16.6
Iceland,Europe,120,33,92.4,7.6,78.5,21.5,68.2,13.2
India *,Asia,"478,600",35,95.8,4.2,98.8,1.2,118.5,69.1
Indonesia *,Asia,"256,051",93,95.0,5.0,99.6,0.4,188.7,19.4
Iran *,Asia,"189,000",228,96.9,3.1,97.1,2.9,153.0,25.1
Iraq,Asia,"45,000",126,97.4,2.6,,,139.2,35.2
Ireland,Europe,"3,753",74,96.1,3.9,86.4,13.6,85.8,17.5
Isle of Man,Europe,106,125,95.3,4.7,91.5,8.5,76.8,6.6
Israel *,Asia,"19,376",234,99.0,1.0,61.1,38.9,80.1,25.2
Italy *,Europe,"53,697",89,95.8,4.2,67.8,32.2,106.2,31.3
Jamaica *,Americas,"3,884",137,96.1,3.9,98.9,1.1,88.8,32.3
Japan *,Asia,"48,429",38,91.8,8.2,94.3,5.7,56.6,12.1
Jersey,Europe,139,129,95.7,4.3,74.8,25.2,69.5,28.1
Jordan,Asia,"20,060",198,97.8,2.2,90.1,9.9,150.2,36.9
Kazakhstan,Asia,"29,403",157,92.9,7.1,94.2,5.8,62.4,19.7
Kenya *,Africa,"42,596",81,93.3,6.7,99.4,0.6,190.5,44.1
Kiribati,Oceania,129,113,99.2,0.8,100.0,0.0,112.8,5.4
Kosovo *,Europe,"1,832",103,97.3,2.7,94.3,5.7,97.1,29.6
Kuwait *,Asia,"4,662",117,94.2,5.8,86.5,13.5,134.1,10.0
Kyrgyzstan,Asia,"10,142",161,95.8,4.2,96.8,3.2,61.7,16.6
Laos *,Asia,"9,000",130,86.3,13.7,,,,67.0
Latvia *,Europe,"3,319",175,91.4,8.6,98.1,1.9,68.8,27.8
Lebanon,Asia,"10,032",205,96.8,3.2,64.0,36.0,286.6,62.9
Lesotho *,Africa,"2,073",92,96.4,3.6,99.1,0.9,70.6,19.5
Liberia *,Africa,"2,700",54,97.2,2.8,98.0,2.0,222.1,64.0
Libya,Africa,"9,100",139,98.8,1.2,87.2,12.8,141.6,90.0
Liechtenstein,Europe,9,23,100.0,0.0,25.0,75.0,45.0,75.0
Lithuania,Europe,"6,018",216,95.3,4.7,97.9,2.1,83.2,11.8
Luxembourg,Europe,524,83,95.2,4.8,25.3,74.7,73.7,41.0
Macau *,Asia,"1,617",232,87.8,12.2,29.3,70.7,82.8,18.9
Madagascar,Africa,"27,903",102,94.2,5.8,99.9,0.1,237.4,56.8
Malawi,Africa,"14,060",71,98.9,1.1,99.8,0.2,200.9,17.8
Malaysia *,Asia,"68,603",212,95.5,4.5,79.5,20.5,131.9,26.7
Maldives *,Asia,"1,852",499,95.7,4.3,98.9,1.1,127.7,
Mali,Africa,"5,209",33,97.2,2.8,,,223.3,52.8
Malta,Europe,821,153,92.9,7.1,44.3,55.7,88.6,33.9
Marshall Islands,Oceania,35,66,100.0,0.0,,,97.2,11.4
Martinique,Americas,715,186,97.1,2.9,,,96.9,37.0
Mauritania *,Africa,"2,321",53,98.2,1.8,88.8,11.2,101.8,38.2
Mauritius *,Africa,"2,815",218,93.9,6.1,93.6,6.4,116.9,59.4
Mayotte,Africa,352,127,99.7,0.3,,,127.5,56.5
Mexico *,Americas,"215,232",166,94.5,5.5,98.8,1.2,98.2,41.7
Micronesia,Oceania,132,127,100.0,0.0,,,88.0,16.7
Moldova *,Europe,"6,429",182,94.2,5.8,98.8,1.2,97.7,15.3
Monaco,Europe,8,21,85.7,14.3,4.8,95.2,9.5,76.2
Mongolia,Asia,"4,804",154,95.2,4.8,99.6,0.4,124.4,26.6
Montenegro *,Europe,"1,070",172,97.4,2.6,84.7,15.3,80.3,29.2
Morocco,Africa,"86,384",238,97.7,2.3,98.6,1.4,136.9,39.1
