Country,military expenditures %gdp
United States,3.2
China,1.7
India,2.4
United Kingdom,2.1
Russia,3.1
France,2.0
Germany,1.4
Saudi Arabia,6.6
Japan,1.1
South Korea,2.8
Italy,1.5
Australia,2.0
Canada,1.3
Iran,2.3
Israel,5.2
Spain,1.4
Brazil,1.2
Turkey,2.1
Netherlands,1.4
Poland,2.1
